filename,tSNE_1,tSNE_2,Class,Perplexity
000000000081.jpg,-52.470844,1.0676368,airplane,10
000000000247.jpg,-0.6597971,-16.625227,airplane,10
000000000599.jpg,40.186874,27.831411,cat,10
000000000913.jpg,-27.942156,-20.145899,airplane,10
000000000923.jpg,19.173817,-19.328613,vehicle,10
000000001029.jpg,-54.68717,-15.8724165,airplane,10
000000001072.jpg,-11.9209175,-12.868208,airplane,10
000000001311.jpg,3.4295273,-46.458397,airplane,10
000000001319.jpg,1.4130939,10.103073,cat,10
000000001611.jpg,21.895882,19.200552,airplane,10
000000002644.jpg,4.450201,-10.858011,vehicle,10
000000002860.jpg,24.137518,11.481596,vehicle,10
000000002998.jpg,-15.162992,2.963156,vehicle,10
000000003264.jpg,-56.543087,-6.8452625,airplane,10
000000003493.jpg,1.8436387,4.280513,vehicle,10
000000004259.jpg,14.066334,36.691143,airplane,10
000000004622.jpg,25.718678,38.809242,cat,10
000000004891.jpg,-31.140535,-5.0081997,airplane,10
000000005355.jpg,32.956944,1.0587397,dog,10
000000005435.jpg,-22.457203,29.83327,cat,10
000000005684.jpg,21.168987,-24.748789,vehicle,10
000000005862.jpg,-13.400686,37.894424,dog,10
000000006730.jpg,25.830824,32.332027,cat,10
000000007096.jpg,-28.024149,-31.102797,vehicle,10
000000007124.jpg,-21.44857,30.08154,vehicle,10
000000007143.jpg,-47.152866,15.743212,airplane,10
000000007201.jpg,-41.91209,1.187291,vehicle,10
000000007740.jpg,43.306732,3.4427843,vehicle,10
000000008005.jpg,-30.904352,-41.47627,airplane,10
000000008311.jpg,21.001413,17.535805,airplane,10
000000008453.jpg,-32.482018,-32.28068,airplane,10
000000008559.jpg,19.20104,4.0778112,dog,10
000000008646.jpg,-45.320824,-27.913424,vehicle,10
000000008829.jpg,23.053143,-6.54739,cat,10
000000009112.jpg,5.512312,-6.6487308,vehicle,10
000000009286.jpg,-43.2377,-13.190449,vehicle,10
000000009426.jpg,-46.270317,7.2769876,airplane,10
000000009466.jpg,26.554577,0.8025906,dog,10
000000009615.jpg,25.977896,16.408144,vehicle,10
000000009807.jpg,50.137356,31.860935,dog,10
000000010581.jpg,38.261024,29.333714,airplane,10
000000010627.jpg,-26.715061,-0.32690084,airplane,10
000000010920.jpg,-22.244356,31.154003,vehicle,10
000000011244.jpg,19.878542,34.809814,cat,10
000000011474.jpg,-9.852363,-7.4497538,airplane,10
